@RELATION spammer

@ATTRIBUTE url             NUMERIC
@ATTRIBUTE followperfriend NUMERIC
@ATTRIBUTE retweet         NUMERIC
@ATTRIBUTE follower        NUMERIC
@ATTRIBUTE friend          NUMERIC
@ATTRIBUTE hashtagpertweet NUMERIC
@ATTRIBUTE incfollower     NUMERIC
@ATTRIBUTE incfriend       NUMERIC
@ATTRIBUTE class           {spammer, non-spammer}

@DATA
0.313725,0.792100,0,1524,1924,0.009804,215.000000,288.000000,spammer
0.302030,0.341954,481,119,348,0.015228,117.000000,345.000000,spammer
0.986600,1.065836,6,599,562,0.958124,543.000000,487.000000,spammer
0.669082,1.027265,5,3730,3631,0.019324,182.000000,193.000000,spammer
0.726804,1.142857,32,464,406,0.139175,450.000000,385.000000,spammer
0.078680,0.894884,600,962,1075,0.073604,570.000000,741.000000,spammer
0.802030,1.018770,28,1954,1918,0.002538,1919.000000,1845.000000,spammer
0.154822,0.636952,110,886,1391,0.040609,286.000000,450.000000,spammer
0.414634,0.496720,2,530,1067,0.231707,523.000000,1065.000000,spammer
0.222222,0.505285,4,478,946,0.018519,-117.000000,-73.000000,spammer
0.562972,3.701987,3026,1118,302,0.387909,1001.000000,180.000000,spammer
0.220812,1.058271,513,563,532,0.086294,445.000000,459.000000,spammer
0.096618,2.089286,380,1404,672,0.067633,729.000000,347.000000,spammer
0.340050,0.808260,2106,274,339,0.282116,273.000000,333.000000,spammer
0.108295,0.770492,33,141,183,0.036866,120.000000,172.000000,spammer
0.058376,1.406061,0,232,165,0.010152,-9.000000,13.000000,spammer
0.073048,1.566390,94,755,482,0.147355,747.000000,461.000000,spammer
0.752577,1.040066,219,4439,4268,0.067010,4353.000000,4209.000000,spammer
0.043147,0.750000,4,231,308,0.002538,199.000000,295.000000,spammer
0.901015,1.016985,1262,1916,1884,0.038071,1741.000000,1811.000000,spammer
0.106599,0.838972,1626,620,739,0.137056,420.000000,471.000000,spammer
0.040609,8.688797,189,2094,241,0.050761,1106.000000,-27.000000,spammer
0.722222,0.752168,0,1041,1384,0.444444,-149.000000,-94.000000,spammer
0.378641,0.930481,49,174,187,0.359223,159.000000,151.000000,spammer
0.025773,2.280236,182,773,339,0.020619,729.000000,318.000000,spammer
0.002545,0.858209,270,115,134,0.068702,93.000000,103.000000,spammer
0.229469,1.012448,470,976,964,0.207729,179.000000,590.000000,spammer
0.222798,0.821951,481,337,410,0.077720,241.000000,348.000000,spammer
0.455959,1.019313,107,475,466,0.165803,258.000000,203.000000,spammer
0.974619,1.105040,25,2872,2599,0.000000,2199.000000,1714.000000,spammer
0.142132,0.509602,5,743,1458,0.012690,5.000000,-329.000000,spammer
0.395619,0.439439,1456,878,1998,0.068299,547.000000,1057.000000,spammer
0.581218,0.901345,125,1407,1561,0.060914,1391.000000,1548.000000,spammer
0.007634,1.729167,1625,332,192,0.017812,312.000000,176.000000,spammer
0.151659,0.467075,0,305,653,0.037915,-49.000000,-41.000000,spammer
0.532995,0.703648,398,1408,2001,0.532995,1396.000000,1999.000000,spammer
0.147343,0.547085,2521,366,669,0.099034,346.000000,634.000000,spammer
0.522727,0.770042,10,730,948,0.011364,721.000000,942.000000,spammer
0.339241,0.944798,463,445,471,0.086076,291.000000,231.000000,spammer
0.642132,0.936910,75,9623,10271,0.172589,3370.000000,3512.000000,spammer
0.271574,0.838583,366,213,254,0.329949,148.000000,217.000000,spammer
0.061069,1.208443,47,458,379,0.071247,305.000000,225.000000,spammer
0.314721,4.488491,32,1755,391,0.243655,-197.000000,-1315.000000,spammer
0.241117,1.310547,588,671,512,0.071066,518.000000,204.000000,spammer
0.908629,0.991189,46,8437,8512,0.180203,8217.000000,8512.000000,spammer
0.482234,1.016495,527,493,485,0.200508,418.000000,387.000000,spammer
0.012723,1.178154,123,2017,1712,0.015267,2014.000000,1709.000000,spammer
0.015228,0.368194,202,426,1157,0.007614,381.000000,1059.000000,spammer
0.894180,0.910694,43,7179,7883,0.000000,7158.000000,7857.000000,spammer
0.071247,1.734000,464,867,500,0.053435,838.000000,305.000000,spammer
0.876812,0.888388,314,1775,1998,0.050725,1643.000000,1895.000000,spammer
0.147208,1.073352,339,2312,2154,0.040609,2050.000000,2083.000000,spammer
0.228426,0.785379,6569,1171,1491,0.215736,1163.000000,1477.000000,spammer
0.002538,1.134615,39,413,364,0.053299,371.000000,206.000000,spammer
0.904523,2.047297,93,606,296,0.000000,160.000000,-42.000000,spammer
0.293515,0.915301,3,1675,1830,0.000000,627.000000,882.000000,spammer
0.994924,0.899023,0,3036,3377,0.000000,2071.000000,1355.000000,spammer
0.822785,1.051724,5,427,406,0.000000,301.000000,317.000000,spammer
0.030457,1.054441,1,368,349,0.002538,147.000000,117.000000,spammer
0.357868,0.549815,932,149,271,0.139594,101.000000,231.000000,spammer
0.380096,1.063415,5476,218,205,0.086331,174.000000,156.000000,spammer
0.091371,0.938026,369,1559,1662,0.134518,1407.000000,1468.000000,spammer
0.149746,0.686491,243,808,1177,0.065990,673.000000,1028.000000,spammer
0.071611,2.699433,10605,1428,529,0.104859,2.000000,-1477.000000,spammer
0.661376,0.903037,56,773,856,0.103175,611.000000,548.000000,spammer
0.048469,7.124682,594,5600,786,0.219388,5239.000000,771.000000,spammer
0.538462,1.078667,28,3853,3572,0.076923,1555.000000,1147.000000,spammer
0.512821,0.917087,37,1272,1387,0.000000,1204.000000,1237.000000,spammer
0.000000,0.688833,467,549,797,0.214834,545.000000,792.000000,spammer
0.233503,0.714646,532,283,396,0.142132,6.000000,111.000000,spammer
0.367925,1.800204,15,5307,2948,0.198113,5300.000000,2948.000000,spammer
0.301408,0.749041,1,1367,1825,0.033803,-175.000000,-142.000000,spammer
0.352792,0.853270,190,1448,1697,0.162437,1407.000000,1635.000000,spammer
0.030457,1.271845,175,393,309,0.134518,384.000000,293.000000,spammer
0.265993,0.660377,1902,70,106,0.454545,39.000000,78.000000,spammer
0.992386,0.976488,1,3364,3445,0.000000,1278.000000,1446.000000,spammer
0.817380,1.716773,1246,2958,1723,0.036524,1932.000000,-272.000000,spammer
0.763959,1.851413,364,2031,1097,0.890863,1554.000000,1026.000000,spammer
0.870558,1.393068,479,1648,1183,0.284264,687.000000,412.000000,spammer
0.368020,0.881678,50,2228,2527,0.274112,1024.000000,698.000000,spammer
0.329897,0.416465,12,344,826,0.015464,329.000000,755.000000,spammer
0.472081,1.119832,1699,14167,12651,0.378173,13824.000000,12342.000000,spammer
